person,prop,ppa,date,date_precision,date_prop,date_propLabel,pqv,s
https://beyond-notability.wikibase.cloud/entity/Q997,https://beyond-notability.wikibase.cloud/entity/P13,https://beyond-notability.wikibase.cloud/entity/Q664,1891-01-01T00:00:00Z,9,https://beyond-notability.wikibase.cloud/entity/P1,point in time,https://beyond-notability.wikibase.cloud/value/70daf498bfce1a97391abb11a11f0875,https://beyond-notability.wikibase.cloud/entity/statement/Q997-027fcb33-455b-03ae-64e0-dc52bbdef9c0
https://beyond-notability.wikibase.cloud/entity/Q970,https://beyond-notability.wikibase.cloud/entity/P13,https://beyond-notability.wikibase.cloud/entity/Q510,1891-01-01T00:00:00Z,9,https://beyond-notability.wikibase.cloud/entity/P1,point in time,https://beyond-notability.wikibase.cloud/value/70daf498bfce1a97391abb11a11f0875,https://beyond-notability.wikibase.cloud/entity/statement/Q970-2e2fe985-4084-49e1-38c7-4556df832d99
https://beyond-notability.wikibase.cloud/entity/Q906,https://beyond-notability.wikibase.cloud/entity/P13,https://beyond-notability.wikibase.cloud/entity/Q664,1891-01-01T00:00:00Z,9,https://beyond-notability.wikibase.cloud/entity/P1,point in time,https://beyond-notability.wikibase.cloud/value/70daf498bfce1a97391abb11a11f0875,https://beyond-notability.wikibase.cloud/entity/statement/Q906-a2869f97-405c-29dd-fb92-bc1f793a298f
https://beyond-notability.wikibase.cloud/entity/Q970,https://beyond-notability.wikibase.cloud/entity/P13,https://beyond-notability.wikibase.cloud/entity/Q1918,1891-01-01T00:00:00Z,9,https://beyond-notability.wikibase.cloud/entity/P1,point in time,https://beyond-notability.wikibase.cloud/value/70daf498bfce1a97391abb11a11f0875,https://beyond-notability.wikibase.cloud/entity/statement/Q970-690bf97c-454a-6539-1209-8393cdc23be5
https://beyond-notability.wikibase.cloud/entity/Q988,https://beyond-notability.wikibase.cloud/entity/P13,https://beyond-notability.wikibase.cloud/entity/Q1918,1891-01-01T00:00:00Z,9,https://beyond-notability.wikibase.cloud/entity/P1,point in time,https://beyond-notability.wikibase.cloud/value/70daf498bfce1a97391abb11a11f0875,https://beyond-notability.wikibase.cloud/entity/statement/Q988-d74b22d5-47ec-baea-1197-8a82264047ff
https://beyond-notability.wikibase.cloud/entity/Q970,https://beyond-notability.wikibase.cloud/entity/P13,https://beyond-notability.wikibase.cloud/entity/Q510,1892-01-01T00:00:00Z,9,https://beyond-notability.wikibase.cloud/entity/P1,point in time,https://beyond-notability.wikibase.cloud/value/9ea831926752a79efc1d36e45b81e9de,https://beyond-notability.wikibase.cloud/entity/statement/Q970-2e2fe985-4084-49e1-38c7-4556df832d99
https://beyond-notability.wikibase.cloud/entity/Q1369,https://beyond-notability.wikibase.cloud/entity/P113,https://beyond-notability.wikibase.cloud/entity/Q1370,1887-01-01T00:00:00Z,9,https://beyond-notability.wikibase.cloud/entity/P1,point in time,https://beyond-notability.wikibase.cloud/value/79d63f292537530ba45f6e392ce241b7,https://beyond-notability.wikibase.cloud/entity/statement/Q1369-baf90e66-44f9-1e8c-1f40-fa03e537f34c
https://beyond-notability.wikibase.cloud/entity/Q549,https://beyond-notability.wikibase.cloud/entity/P13,https://beyond-notability.wikibase.cloud/entity/Q756,1908-01-01T00:00:00Z,9,https://beyond-notability.wikibase.cloud/entity/P1,point in time,https://beyond-notability.wikibase.cloud/value/a8cb14e3f795be35aa7849c41cac676a,https://beyond-notability.wikibase.cloud/entity/statement/Q549-89c5aef8-420b-5d98-2b9f-af5c11419845
https://beyond-notability.wikibase.cloud/entity/Q981,https://beyond-notability.wikibase.cloud/entity/P13,https://beyond-notability.wikibase.cloud/entity/Q707,1893-01-01T00:00:00Z,9,https://beyond-notability.wikibase.cloud/entity/P1,point in time,https://beyond-notability.wikibase.cloud/value/243b269ba51953efcbb66a5742ed2cbd,https://beyond-notability.wikibase.cloud/entity/statement/Q981-2fccfeca-477e-21e9-798d-32bc8e8aa648
https://beyond-notability.wikibase.cloud/entity/Q970,https://beyond-notability.wikibase.cloud/entity/P13,https://beyond-notability.wikibase.cloud/entity/Q510,1893-01-01T00:00:00Z,9,https://beyond-notability.wikibase.cloud/entity/P1,point in time,https://beyond-notability.wikibase.cloud/value/243b269ba51953efcbb66a5742ed2cbd,https://beyond-notability.wikibase.cloud/entity/statement/Q970-2e2fe985-4084-49e1-38c7-4556df832d99
https://beyond-notability.wikibase.cloud/entity/Q970,https://beyond-notability.wikibase.cloud/entity/P13,https://beyond-notability.wikibase.cloud/entity/Q707,1893-01-01T00:00:00Z,9,https://beyond-notability.wikibase.cloud/entity/P1,point in time,https://beyond-notability.wikibase.cloud/value/243b269ba51953efcbb66a5742ed2cbd,https://beyond-notability.wikibase.cloud/entity/statement/Q970-359da853-4c8a-21a8-ba3b-1f6e7ec4483c
https://beyond-notability.wikibase.cloud/entity/Q606,https://beyond-notability.wikibase.cloud/entity/P13,https://beyond-notability.wikibase.cloud/entity/Q1,1888-03-08T00:00:00Z,11,https://beyond-notability.wikibase.cloud/entity/P1,point in time,https://beyond-notability.wikibase.cloud/value/eab8f52ae813b323cba9d244de98cbb0,https://beyond-notability.wikibase.cloud/entity/statement/Q606-fd85ed16-484f-1b30-c491-bbaed2437488
https://beyond-notability.wikibase.cloud/entity/Q970,https://beyond-notability.wikibase.cloud/entity/P13,https://beyond-notability.wikibase.cloud/entity/Q1871,1888-01-01T00:00:00Z,9,https://beyond-notability.wikibase.cloud/entity/P1,point in time,https://beyond-notability.wikibase.cloud/value/a88a154971f37cf79ed7457481134197,https://beyond-notability.wikibase.cloud/entity/statement/Q970-9ef5f73b-4c1f-81eb-a733-122a2c657093
https://beyond-notability.wikibase.cloud/entity/Q970,https://beyond-notability.wikibase.cloud/entity/P13,https://beyond-notability.wikibase.cloud/entity/Q510,1894-01-01T00:00:00Z,9,https://beyond-notability.wikibase.cloud/entity/P1,point in time,https://beyond-notability.wikibase.cloud/value/25d010680128125ce2272dd16515663b,https://beyond-notability.wikibase.cloud/entity/statement/Q970-2e2fe985-4084-49e1-38c7-4556df832d99
https://beyond-notability.wikibase.cloud/entity/Q1146,https://beyond-notability.wikibase.cloud/entity/P13,https://beyond-notability.wikibase.cloud/entity/Q1,1893-04-20T00:00:00Z,11,https://beyond-notability.wikibase.cloud/entity/P1,point in time,https://beyond-notability.wikibase.cloud/value/c73b1f6455b0315a1941634de352c33a,https://beyond-notability.wikibase.cloud/entity/statement/Q1146-a1048981-4844-bfa6-e32d-aa7d5afece0d
https://beyond-notability.wikibase.cloud/entity/Q1307,https://beyond-notability.wikibase.cloud/entity/P13,https://beyond-notability.wikibase.cloud/entity/Q3408,1897-07-01T00:00:00Z,10,https://beyond-notability.wikibase.cloud/entity/P1,point in time,https://beyond-notability.wikibase.cloud/value/cacac3464026d83817be8d8ac8bad598,https://beyond-notability.wikibase.cloud/entity/statement/Q1307-737e536a-4f2f-db79-3335-9296cceec429
https://beyond-notability.wikibase.cloud/entity/Q508,https://beyond-notability.wikibase.cloud/entity/P13,https://beyond-notability.wikibase.cloud/entity/Q580,1889-01-01T00:00:00Z,9,https://beyond-notability.wikibase.cloud/entity/P1,point in time,https://beyond-notability.wikibase.cloud/value/a5168246973a7d3c6cac9ba9a7f45041,https://beyond-notability.wikibase.cloud/entity/statement/Q508-80327011-4013-2fe7-653b-20774cee864f
https://beyond-notability.wikibase.cloud/entity/Q1009,https://beyond-notability.wikibase.cloud/entity/P13,https://beyond-notability.wikibase.cloud/entity/Q31,1893-11-01T00:00:00Z,11,https://beyond-notability.wikibase.cloud/entity/P1,point in time,https://beyond-notability.wikibase.cloud/value/526c367cad8719c1baceb0982e86cda2,https://beyond-notability.wikibase.cloud/entity/statement/Q1009-f536178a-4e0e-7be4-72e2-464732f2853c
https://beyond-notability.wikibase.cloud/entity/Q970,https://beyond-notability.wikibase.cloud/entity/P13,https://beyond-notability.wikibase.cloud/entity/Q510,1888-01-01T00:00:00Z,9,https://beyond-notability.wikibase.cloud/entity/P1,point in time,https://beyond-notability.wikibase.cloud/value/a88a154971f37cf79ed7457481134197,https://beyond-notability.wikibase.cloud/entity/statement/Q970-2e2fe985-4084-49e1-38c7-4556df832d99
https://beyond-notability.wikibase.cloud/entity/Q970,https://beyond-notability.wikibase.cloud/entity/P13,https://beyond-notability.wikibase.cloud/entity/Q1918,1888-01-01T00:00:00Z,9,https://beyond-notability.wikibase.cloud/entity/P1,point in time,https://beyond-notability.wikibase.cloud/value/a88a154971f37cf79ed7457481134197,https://beyond-notability.wikibase.cloud/entity/statement/Q970-690bf97c-454a-6539-1209-8393cdc23be5
https://beyond-notability.wikibase.cloud/entity/Q1079,https://beyond-notability.wikibase.cloud/entity/P13,https://beyond-notability.wikibase.cloud/entity/Q31,1887-11-30T00:00:00Z,11,https://beyond-notability.wikibase.cloud/entity/P1,point in time,https://beyond-notability.wikibase.cloud/value/f95ea81457f73b812b280eddd2d8b18b,https://beyond-notability.wikibase.cloud/entity/statement/Q1079-0769292f-424a-237e-399c-4583f3b2c687
https://beyond-notability.wikibase.cloud/entity/Q1136,https://beyond-notability.wikibase.cloud/entity/P13,https://beyond-notability.wikibase.cloud/entity/Q1,1888-06-28T00:00:00Z,11,https://beyond-notability.wikibase.cloud/entity/P1,point in time,https://beyond-notability.wikibase.cloud/value/913aad10fc4dc4eebb90bbe754a0c06f,https://beyond-notability.wikibase.cloud/entity/statement/Q1136-67721cf1-48b5-5825-e5e9-c87dcc813b5a
https://beyond-notability.wikibase.cloud/entity/Q508,https://beyond-notability.wikibase.cloud/entity/P13,https://beyond-notability.wikibase.cloud/entity/Q1918,1889-01-01T00:00:00Z,9,https://beyond-notability.wikibase.cloud/entity/P1,point in time,https://beyond-notability.wikibase.cloud/value/a5168246973a7d3c6cac9ba9a7f45041,https://beyond-notability.wikibase.cloud/entity/statement/Q508-f310bb0a-4b29-3571-1b2a-a8c2ce0708ce
https://beyond-notability.wikibase.cloud/entity/Q1134,https://beyond-notability.wikibase.cloud/entity/P13,https://beyond-notability.wikibase.cloud/entity/Q1,1888-01-26T00:00:00Z,11,https://beyond-notability.wikibase.cloud/entity/P1,point in time,https://beyond-notability.wikibase.cloud/value/d46a16f4d171c124d26e11f934724e17,https://beyond-notability.wikibase.cloud/entity/statement/Q1134-312a741a-4798-94b3-869b-32081ebf5daf
https://beyond-notability.wikibase.cloud/entity/Q1391,https://beyond-notability.wikibase.cloud/entity/P13,https://beyond-notability.wikibase.cloud/entity/Q1,1888-11-08T00:00:00Z,11,https://beyond-notability.wikibase.cloud/entity/P1,point in time,https://beyond-notability.wikibase.cloud/value/76fde8e14d1126bb7de4f1859e7be91d,https://beyond-notability.wikibase.cloud/entity/statement/Q1391-735c17d5-4e72-06b5-ea28-b30fd3d7f47a
https://beyond-notability.wikibase.cloud/entity/Q549,https://beyond-notability.wikibase.cloud/entity/P13,https://beyond-notability.wikibase.cloud/entity/Q1919,1908-01-01T00:00:00Z,9,https://beyond-notability.wikibase.cloud/entity/P1,point in time,https://beyond-notability.wikibase.cloud/value/a8cb14e3f795be35aa7849c41cac676a,https://beyond-notability.wikibase.cloud/entity/statement/Q549-56f69500-4be2-4fc3-dd88-9cc123bd646f
https://beyond-notability.wikibase.cloud/entity/Q1155,https://beyond-notability.wikibase.cloud/entity/P13,https://beyond-notability.wikibase.cloud/entity/Q1,1898-01-20T00:00:00Z,11,https://beyond-notability.wikibase.cloud/entity/P1,point in time,https://beyond-notability.wikibase.cloud/value/bfb2db03a0f477e08003f0f2616c419f,https://beyond-notability.wikibase.cloud/entity/statement/Q1155-b8da6c5e-4bf1-8762-cc03-262de39f8471
https://beyond-notability.wikibase.cloud/entity/Q970,https://beyond-notability.wikibase.cloud/entity/P13,https://beyond-notability.wikibase.cloud/entity/Q510,1889-01-01T00:00:00Z,9,https://beyond-notability.wikibase.cloud/entity/P1,point in time,https://beyond-notability.wikibase.cloud/value/a5168246973a7d3c6cac9ba9a7f45041,https://beyond-notability.wikibase.cloud/entity/statement/Q970-2e2fe985-4084-49e1-38c7-4556df832d99
https://beyond-notability.wikibase.cloud/entity/Q970,https://beyond-notability.wikibase.cloud/entity/P13,https://beyond-notability.wikibase.cloud/entity/Q1918,1889-01-01T00:00:00Z,9,https://beyond-notability.wikibase.cloud/entity/P1,point in time,https://beyond-notability.wikibase.cloud/value/a5168246973a7d3c6cac9ba9a7f45041,https://beyond-notability.wikibase.cloud/entity/statement/Q970-690bf97c-454a-6539-1209-8393cdc23be5
https://beyond-notability.wikibase.cloud/entity/Q988,https://beyond-notability.wikibase.cloud/entity/P13,https://beyond-notability.wikibase.cloud/entity/Q1918,1889-01-01T00:00:00Z,9,https://beyond-notability.wikibase.cloud/entity/P1,point in time,https://beyond-notability.wikibase.cloud/value/a5168246973a7d3c6cac9ba9a7f45041,https://beyond-notability.wikibase.cloud/entity/statement/Q988-d74b22d5-47ec-baea-1197-8a82264047ff
https://beyond-notability.wikibase.cloud/entity/Q970,https://beyond-notability.wikibase.cloud/entity/P13,https://beyond-notability.wikibase.cloud/entity/Q510,1898-01-01T00:00:00Z,9,https://beyond-notability.wikibase.cloud/entity/P1,point in time,https://beyond-notability.wikibase.cloud/value/887abd1e7259096ba5cd9898f61da7b8,https://beyond-notability.wikibase.cloud/entity/statement/Q970-2e2fe985-4084-49e1-38c7-4556df832d99
https://beyond-notability.wikibase.cloud/entity/Q1055,https://beyond-notability.wikibase.cloud/entity/P13,https://beyond-notability.wikibase.cloud/entity/Q682,1898-01-27T00:00:00Z,11,https://beyond-notability.wikibase.cloud/entity/P1,point in time,https://beyond-notability.wikibase.cloud/value/09abd01d8510117fa2d82683a5285cb4,https://beyond-notability.wikibase.cloud/entity/statement/Q1055-acd32dd2-4f19-333f-c95e-012163c0557c
https://beyond-notability.wikibase.cloud/entity/Q3073,https://beyond-notability.wikibase.cloud/entity/P13,https://beyond-notability.wikibase.cloud/entity/Q510,1908-01-01T00:00:00Z,9,https://beyond-notability.wikibase.cloud/entity/P1,point in time,https://beyond-notability.wikibase.cloud/value/a8cb14e3f795be35aa7849c41cac676a,https://beyond-notability.wikibase.cloud/entity/statement/Q3073-5ca2cf6e-4dcd-768e-ff75-617f96b19c92
https://beyond-notability.wikibase.cloud/entity/Q836,https://beyond-notability.wikibase.cloud/entity/P13,https://beyond-notability.wikibase.cloud/entity/Q31,1898-01-19T00:00:00Z,11,https://beyond-notability.wikibase.cloud/entity/P1,point in time,https://beyond-notability.wikibase.cloud/value/074a189f70c1c488906b8228b89c8b39,https://beyond-notability.wikibase.cloud/entity/statement/Q836-50f9e28d-43c2-ab1a-8129-67b50975dc90
https://beyond-notability.wikibase.cloud/entity/Q988,https://beyond-notability.wikibase.cloud/entity/P13,https://beyond-notability.wikibase.cloud/entity/Q1918,1898-01-01T00:00:00Z,9,https://beyond-notability.wikibase.cloud/entity/P1,point in time,https://beyond-notability.wikibase.cloud/value/887abd1e7259096ba5cd9898f61da7b8,https://beyond-notability.wikibase.cloud/entity/statement/Q988-d74b22d5-47ec-baea-1197-8a82264047ff
https://beyond-notability.wikibase.cloud/entity/Q489,https://beyond-notability.wikibase.cloud/entity/P13,https://beyond-notability.wikibase.cloud/entity/Q510,1898-01-01T00:00:00Z,9,https://beyond-notability.wikibase.cloud/entity/P1,point in time,https://beyond-notability.wikibase.cloud/value/887abd1e7259096ba5cd9898f61da7b8,https://beyond-notability.wikibase.cloud/entity/statement/Q489-88b744b9-4af8-a111-737a-302c014c01ec
https://beyond-notability.wikibase.cloud/entity/Q782,https://beyond-notability.wikibase.cloud/entity/P13,https://beyond-notability.wikibase.cloud/entity/Q31,1907-11-14T00:00:00Z,11,https://beyond-notability.wikibase.cloud/entity/P1,point in time,https://beyond-notability.wikibase.cloud/value/8b64d462b6cf03c70513b20c8c6e774a,https://beyond-notability.wikibase.cloud/entity/statement/Q782-2f02302e-4510-7950-453c-5dae43355ea5
https://beyond-notability.wikibase.cloud/entity/Q880,https://beyond-notability.wikibase.cloud/entity/P23,https://beyond-notability.wikibase.cloud/entity/Q682,1890-07-01T00:00:00Z,10,https://beyond-notability.wikibase.cloud/entity/P1,point in time,https://beyond-notability.wikibase.cloud/value/4eb85d392da4d23b5e4e93da1ece6bfe,https://beyond-notability.wikibase.cloud/entity/statement/Q880-602f35c3-4f9a-f89b-b5e0-78e1ec62d4ec
https://beyond-notability.wikibase.cloud/entity/Q880,https://beyond-notability.wikibase.cloud/entity/P23,https://beyond-notability.wikibase.cloud/entity/Q682,1890-07-01T00:00:00Z,10,https://beyond-notability.wikibase.cloud/entity/P1,point in time,https://beyond-notability.wikibase.cloud/value/4eb85d392da4d23b5e4e93da1ece6bfe,https://beyond-notability.wikibase.cloud/entity/statement/Q880-99f30f3c-4666-92ea-bb7d-fa02f5a2daed
