person	personLabel	SALproposedLabel	SALproposed	SALsignatorypersonalLabel	SALsignatorypersonal	SALsignatorygeneralLabel	SALsignatorygeneral	RAIproposed	RAIproposedLabel	RAIseconded	RAIsecondedLabel	date
https://beyond-notability.wikibase.cloud/entity/Q23	Eugénie Sellers Strong	Society of Antiquaries of London Council	https://beyond-notability.wikibase.cloud/entity/Q27	Charles Reed Peers	https://beyond-notability.wikibase.cloud/entity/Q55							1920-04-28T00:00:00Z
https://beyond-notability.wikibase.cloud/entity/Q23	Eugénie Sellers Strong	Society of Antiquaries of London Council	https://beyond-notability.wikibase.cloud/entity/Q27	Frederick Anthony White	https://beyond-notability.wikibase.cloud/entity/Q56							1920-04-28T00:00:00Z
https://beyond-notability.wikibase.cloud/entity/Q57	Rose Graham	Society of Antiquaries of London Council	https://beyond-notability.wikibase.cloud/entity/Q27	Charles Hercules Read	https://beyond-notability.wikibase.cloud/entity/Q41							1920-04-28T00:00:00Z
https://beyond-notability.wikibase.cloud/entity/Q57	Rose Graham	Society of Antiquaries of London Council	https://beyond-notability.wikibase.cloud/entity/Q27	William Minet	https://beyond-notability.wikibase.cloud/entity/Q42							1920-04-28T00:00:00Z
https://beyond-notability.wikibase.cloud/entity/Q57	Rose Graham	Society of Antiquaries of London Council	https://beyond-notability.wikibase.cloud/entity/Q27	Arthur Frederick Hill	https://beyond-notability.wikibase.cloud/entity/Q44							1920-04-28T00:00:00Z
https://beyond-notability.wikibase.cloud/entity/Q57	Rose Graham	Society of Antiquaries of London Council	https://beyond-notability.wikibase.cloud/entity/Q27	John Linton Myres	https://beyond-notability.wikibase.cloud/entity/Q45							1920-04-28T00:00:00Z
https://beyond-notability.wikibase.cloud/entity/Q57	Rose Graham	Society of Antiquaries of London Council	https://beyond-notability.wikibase.cloud/entity/Q27	Hilary Jenkinson	https://beyond-notability.wikibase.cloud/entity/Q46							1920-04-28T00:00:00Z
https://beyond-notability.wikibase.cloud/entity/Q57	Rose Graham	Society of Antiquaries of London Council	https://beyond-notability.wikibase.cloud/entity/Q27	Aymer Vallance	https://beyond-notability.wikibase.cloud/entity/Q49							1920-04-28T00:00:00Z
https://beyond-notability.wikibase.cloud/entity/Q57	Rose Graham	Society of Antiquaries of London Council	https://beyond-notability.wikibase.cloud/entity/Q27	Henry Reginald Holland Hall	https://beyond-notability.wikibase.cloud/entity/Q50							1920-04-28T00:00:00Z
https://beyond-notability.wikibase.cloud/entity/Q57	Rose Graham	Society of Antiquaries of London Council	https://beyond-notability.wikibase.cloud/entity/Q27	Matthew Ingle Joyce	https://beyond-notability.wikibase.cloud/entity/Q51							1920-04-28T00:00:00Z
https://beyond-notability.wikibase.cloud/entity/Q57	Rose Graham	Society of Antiquaries of London Council	https://beyond-notability.wikibase.cloud/entity/Q27	Reginald Campbell Thompson	https://beyond-notability.wikibase.cloud/entity/Q52							1920-04-28T00:00:00Z
https://beyond-notability.wikibase.cloud/entity/Q57	Rose Graham	Society of Antiquaries of London Council	https://beyond-notability.wikibase.cloud/entity/Q27	Vernon Bryan Crowther-Beynon	https://beyond-notability.wikibase.cloud/entity/Q53							1920-04-28T00:00:00Z
https://beyond-notability.wikibase.cloud/entity/Q57	Rose Graham	Society of Antiquaries of London Council	https://beyond-notability.wikibase.cloud/entity/Q27	Walter Henry, Baron Northborne	https://beyond-notability.wikibase.cloud/entity/Q54							1920-04-28T00:00:00Z
https://beyond-notability.wikibase.cloud/entity/Q57	Rose Graham	Society of Antiquaries of London Council	https://beyond-notability.wikibase.cloud/entity/Q27	Charles Reed Peers	https://beyond-notability.wikibase.cloud/entity/Q55							1920-04-28T00:00:00Z
https://beyond-notability.wikibase.cloud/entity/Q553	Ellen Ann Willmott	Walter Henry, Baron Northborne	https://beyond-notability.wikibase.cloud/entity/Q54	Ralph Hare Griffin	https://beyond-notability.wikibase.cloud/entity/Q246							1920-06-12T00:00:00Z
https://beyond-notability.wikibase.cloud/entity/Q553	Ellen Ann Willmott	Walter Henry, Baron Northborne	https://beyond-notability.wikibase.cloud/entity/Q54	signatory indecipherable	https://beyond-notability.wikibase.cloud/entity/Q47							1920-06-12T00:00:00Z
https://beyond-notability.wikibase.cloud/entity/Q553	Ellen Ann Willmott	Walter Henry, Baron Northborne	https://beyond-notability.wikibase.cloud/entity/Q54	Aymer Vallance	https://beyond-notability.wikibase.cloud/entity/Q49							1920-06-12T00:00:00Z
https://beyond-notability.wikibase.cloud/entity/Q553	Ellen Ann Willmott	Walter Henry, Baron Northborne	https://beyond-notability.wikibase.cloud/entity/Q54	Aldred Frederick George Beresford, Earl of Scarborough	https://beyond-notability.wikibase.cloud/entity/Q554							1920-06-12T00:00:00Z
https://beyond-notability.wikibase.cloud/entity/Q553	Ellen Ann Willmott	Walter Henry, Baron Northborne	https://beyond-notability.wikibase.cloud/entity/Q54	Montagu Edward Hughes-Hughes	https://beyond-notability.wikibase.cloud/entity/Q555							1920-06-12T00:00:00Z
https://beyond-notability.wikibase.cloud/entity/Q553	Ellen Ann Willmott	Walter Henry, Baron Northborne	https://beyond-notability.wikibase.cloud/entity/Q54	Frederick William Cock	https://beyond-notability.wikibase.cloud/entity/Q556							1920-06-12T00:00:00Z
https://beyond-notability.wikibase.cloud/entity/Q553	Ellen Ann Willmott	Walter Henry, Baron Northborne	https://beyond-notability.wikibase.cloud/entity/Q54	Aston Webb	https://beyond-notability.wikibase.cloud/entity/Q557							1920-06-12T00:00:00Z
https://beyond-notability.wikibase.cloud/entity/Q553	Ellen Ann Willmott	Walter Henry, Baron Northborne	https://beyond-notability.wikibase.cloud/entity/Q54	Harold Dillon	https://beyond-notability.wikibase.cloud/entity/Q558							1920-06-12T00:00:00Z
https://beyond-notability.wikibase.cloud/entity/Q553	Ellen Ann Willmott	Walter Henry, Baron Northborne	https://beyond-notability.wikibase.cloud/entity/Q54	Charles Wood	https://beyond-notability.wikibase.cloud/entity/Q559							1920-06-12T00:00:00Z
https://beyond-notability.wikibase.cloud/entity/Q553	Ellen Ann Willmott	Walter Henry, Baron Northborne	https://beyond-notability.wikibase.cloud/entity/Q54	Frederick Anthony White	https://beyond-notability.wikibase.cloud/entity/Q56							1920-06-12T00:00:00Z
https://beyond-notability.wikibase.cloud/entity/Q130	Gertrude Bell	Society of Antiquaries of London Council	https://beyond-notability.wikibase.cloud/entity/Q27	John Nowell Linton Myres	https://beyond-notability.wikibase.cloud/entity/Q112							1920-11-24T00:00:00Z
https://beyond-notability.wikibase.cloud/entity/Q130	Gertrude Bell	Society of Antiquaries of London Council	https://beyond-notability.wikibase.cloud/entity/Q27	Randall Davies	https://beyond-notability.wikibase.cloud/entity/Q176							1920-11-24T00:00:00Z
https://beyond-notability.wikibase.cloud/entity/Q130	Gertrude Bell	Society of Antiquaries of London Council	https://beyond-notability.wikibase.cloud/entity/Q27	Charles Hercules Read	https://beyond-notability.wikibase.cloud/entity/Q41							1920-11-24T00:00:00Z
https://beyond-notability.wikibase.cloud/entity/Q130	Gertrude Bell	Society of Antiquaries of London Council	https://beyond-notability.wikibase.cloud/entity/Q27	Hilary Jenkinson	https://beyond-notability.wikibase.cloud/entity/Q46							1920-11-24T00:00:00Z
https://beyond-notability.wikibase.cloud/entity/Q130	Gertrude Bell	Society of Antiquaries of London Council	https://beyond-notability.wikibase.cloud/entity/Q27	Charles Lethbridge Kingsford	https://beyond-notability.wikibase.cloud/entity/Q48							1920-11-24T00:00:00Z
https://beyond-notability.wikibase.cloud/entity/Q130	Gertrude Bell	Society of Antiquaries of London Council	https://beyond-notability.wikibase.cloud/entity/Q27	Aymer Vallance	https://beyond-notability.wikibase.cloud/entity/Q49							1920-11-24T00:00:00Z
